Datetime,UK,-,US,IN,HK,
1900-12-27 04:00:00,8,98,26,38,,
1900-12-27 03:00:00,8,122,38,33,1,
1900-12-27 18:00:00,32,110,32,28,,
1900-12-27 14:00:00,37,244,48,54,,
1900-12-28 13:00:00,28,148,13,29,,
1900-12-28 10:00:00,36,82,9,15,1,
1900-12-26 13:00:00,2,5,3,3,,
1900-12-28 00:00:00,15,59,14,4,,
1900-12-27 23:00:00,23,81,22,1,,
1900-12-28 05:00:00,29,113,17,24,,
1900-12-28 02:00:00,9,99,24,17,,
1900-12-26 14:00:00,11,71,8,29,,
1900-12-28 15:00:00,16,48,12,14,,
1900-12-26 17:00:00,8,76,20,29,1,
1900-12-26 23:00:00,18,138,34,5,,
1900-12-26 18:00:00,62,68,15,26,,
1900-12-27 17:00:00,41,156,42,9,,
1900-12-27 08:00:00,26,119,14,27,,
1900-12-27 06:00:00,58,105,34,50,1,
1900-12-27 13:00:00,36,159,46,42,2,
1900-12-27 20:00:00,17,121,29,7,,
1900-12-27 19:00:00,33,241,34,15,,
1900-12-27 00:00:00,14,139,39,5,,
1900-12-27 15:00:00,15,168,42,54,1,
1900-12-27 05:00:00,8,104,14,30,,
1900-12-28 09:00:00,10,24,4,3,,
1900-12-28 07:00:00,14,65,17,23,,
1900-12-28 12:00:00,32,114,15,18,,
1900-12-26 21:00:00,36,204,69,1,,
1900-12-28 01:00:00,10,99,20,14,,
1900-12-28 14:00:00,17,125,27,24,,
1900-12-28 04:00:00,10,132,60,25,,
1900-12-27 10:00:00,43,107,11,36,,
1900-12-26 16:00:00,1,25,2,3,,
1900-12-27 02:00:00,12,128,46,21,,
1900-12-27 09:00:00,35,103,13,26,,
1900-12-28 11:00:00,34,115,11,23,1,
1900-12-27 07:00:00,21,137,27,34,,
1900-12-27 22:00:00,28,98,16,2,,
1900-12-28 03:00:00,6,110,40,25,,
1900-12-28 08:00:00,38,108,15,18,,
1900-12-27 16:00:00,19,142,35,20,,
1900-12-27 21:00:00,16,93,23,2,,
1900-12-26 22:00:00,27,172,49,1,,
1900-12-26 15:00:00,7,43,3,29,1,
1900-12-28 06:00:00,11,74,21,23,,
1900-12-26 19:00:00,59,486,152,6,2,
1900-12-26 20:00:00,36,322,109,4,,
1900-12-10 21:00:00,,,,,,1
1900-12-27 12:00:00,31,127,22,22,,
1900-12-27 11:00:00,35,117,24,33,,
1900-12-27 01:00:00,17,162,60,11,,
